         9419009 function calls (9401623 primitive calls) in 4.188 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9846    0.003    0.000    0.009    0.000 pathlib.py:547(__fspath__)
        1    0.000    0.000    0.009    0.009 Image.py:1(<module>)
        1    0.000    0.000    0.009    0.009 mixins.py:1(<module>)
        1    0.000    0.000    0.009    0.009 libavformat.py:1(<module>)
     1799    0.003    0.000    0.009    0.000 texture.py:113(get_with_config)
     4139    0.004    0.000    0.009    0.000 PngImagePlugin.py:168(read)
        1    0.000    0.000    0.009    0.009 lib_glx.py:1(<module>)
      315    0.009    0.000    0.009    0.000 {built-in method PIL._imaging.new}
     3883    0.004    0.000    0.009    0.000 _weakrefset.py:75(__contains__)
1346/1250    0.001    0.000    0.009    0.000 typing.py:338(inner)
        1    0.000    0.000    0.009    0.009 joysticks.py:1(<module>)
     1799    0.001    0.000    0.008    0.000 tilemap.py:66(_get_image_source)
       67    0.000    0.000    0.008    0.000 <frozen abc>:105(__new__)
       52    0.000    0.000    0.008    0.000 __init__.py:225(compile)
      508    0.003    0.000    0.008    0.000 texture_atlas.py:474(allocate)
        3    0.000    0.000    0.008    0.003 tiled_object.py:1(<module>)
   104479    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.008    0.008 pymunk.py:1(<module>)
       67    0.008    0.000    0.008    0.000 {built-in method _abc._abc_init}
      122    0.000    0.000    0.008    0.000 _make.py:298(_make_method)
     1410    0.004    0.000    0.008    0.000 Image.py:1654(paste)
      315    0.001    0.000    0.007    0.000 PngImagePlugin.py:982(load_end)
        1    0.000    0.000    0.007    0.007 gdkpixbuf2.py:1(<module>)
     1799    0.001    0.000    0.007    0.000 <frozen genericpath>:16(exists)
       22    0.000    0.000    0.007    0.000 dataclasses.py:1192(dataclass)
       22    0.000    0.000    0.007    0.000 dataclasses.py:1209(wrap)
     4622    0.004    0.000    0.007    0.000 lib.py:52(errcheck)
       22    0.001    0.000    0.007    0.000 dataclasses.py:884(_process_class)
       11    0.000    0.000    0.007    0.001 __init__.py:300(__getattr__)
       56    0.000    0.000    0.007    0.000 _parser.py:970(parse)
      323    0.001    0.000    0.007    0.000 Image.py:2508(getchannel)
        1    0.000    0.000    0.007    0.007 parser.py:12(parse_map)
     3848    0.005    0.000    0.007    0.000 Image.py:543(_new)
        1    0.000    0.000    0.007    0.007 tiled_map.py:58(parse)
    11972    0.005    0.000    0.007    0.000 pathlib.py:537(__str__)
   172/56    0.000    0.000    0.007    0.000 _parser.py:447(_parse_sub)
    26001    0.005    0.000    0.007    0.000 <frozen posixpath>:41(_get_sep)
   201/60    0.003    0.000    0.006    0.000 _parser.py:507(_parse)
     1830    0.003    0.000    0.006    0.000 <frozen posixpath>:150(dirname)
        2    0.000    0.000    0.006    0.003 text.py:1(<module>)
     1799    0.005    0.000    0.006    0.000 base.py:58(__init__)
      342    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        2    0.000    0.000    0.006    0.003 xlib.py:104(create_context)
        2    0.000    0.000    0.006    0.003 xlib.py:119(__init__)
     2396    0.004    0.000    0.006    0.000 Image.py:417(_getencoder)
      315    0.000    0.000    0.006    0.000 Image.py:321(preinit)
     2174    0.001    0.000    0.006    0.000 <frozen posixpath>:397(abspath)
     3611    0.005    0.000    0.006    0.000 texture.py:189(create_cache_name)
      417    0.000    0.000    0.006    0.000 _make.py:2540(evolve)
        2    0.006    0.003    0.006    0.003 xlib.py:150(_create_glx_context)
     2520    0.002    0.000    0.006    0.000 PngImagePlugin.py:207(crc)
     1911    0.001    0.000    0.006    0.000 lib_glx.py:23(link_GL)
        2    0.000    0.000    0.006    0.003 xlib.py:44(<listcomp>)
     1812    0.002    0.000    0.006    0.000 texture.py:219(_update_cache_names)
       96    0.005    0.000    0.006    0.000 xlib.py:89(__init__)
      371    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
     1846    0.001    0.000    0.005    0.000 pathlib.py:1231(exists)
       11    0.000    0.000    0.005    0.000 context.py:959(program)
    35900    0.003    0.000    0.005    0.000 {built-in method posix.fspath}
    79243    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
       18    0.001    0.000    0.005    0.000 sprite_list.py:97(__init__)
        1    0.000    0.000    0.005    0.005 context.py:226(default_atlas)
        1    0.004    0.004    0.005    0.005 texture_atlas.py:204(__init__)
      674    0.001    0.000    0.005    0.000 PngImagePlugin.py:949(load_read)
       11    0.000    0.000    0.005    0.000 base.py:252(set_current)
        1    0.000    0.000    0.005    0.005 events.py:1(<module>)
5839/5465    0.002    0.000    0.005    0.000 {built-in method __new__ of type object at 0x9594a0}
       13    0.000    0.000    0.005    0.000 gl_info.py:61(set_active_context)
  239/143    0.000    0.000    0.005    0.000 typing.py:458(__getitem__)
        1    0.000    0.000    0.005    0.005 ExifTags.py:1(<module>)
     1810    0.003    0.000    0.005    0.000 hit_box.py:45(get)
      323    0.005    0.000    0.005    0.000 {method 'getband' of 'ImagingCore' objects}
     2724    0.002    0.000    0.005    0.000 {method '__reduce_ex__' of 'object' objects}
     1200    0.001    0.000    0.004    0.000 gl_info.py:81(<genexpr>)
     4346    0.002    0.000    0.004    0.000 <frozen posixpath>:60(isabs)
    12885    0.003    0.000    0.004    0.000 Image.py:531(width)
      682    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        2    0.000    0.000    0.004    0.002 layout.py:1(<module>)
        3    0.000    0.000    0.004    0.001 util.py:1(<module>)
       36    0.000    0.000    0.004    0.000 sprite_list.py:187(_init_deferred)
       56    0.000    0.000    0.004    0.000 _compiler.py:571(_code)
     1799    0.002    0.000    0.004    0.000 texture.py:586(validate_crop)
    34452    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.004    0.004 application.py:750(_create)
        1    0.000    0.000    0.004    0.004 validators.py:1(<module>)
     1854    0.001    0.000    0.004    0.000 __init__.py:386(__getattr__)
        1    0.000    0.000    0.004    0.004 libavutil.py:1(<module>)
        1    0.000    0.000    0.004    0.004 x11_xinput_tablet.py:1(<module>)
       20    0.000    0.000    0.004    0.000 enum.py:486(__new__)
        1    0.000    0.000    0.004    0.004 x11_xinput.py:1(<module>)
     2114    0.001    0.000    0.004    0.000 hashlib.py:152(__hash_new)
      141    0.000    0.000    0.004    0.000 typing.py:635(Union)
       66    0.000    0.000    0.004    0.000 dataclasses.py:413(_create_fn)
       11    0.000    0.000    0.004    0.000 event.py:333(dispatch_event)
        3    0.000    0.000    0.004    0.001 wang_set.py:1(<module>)
        5    0.000    0.000    0.004    0.001 base.py:186(idle)
        1    0.000    0.000    0.004    0.004 tiled_map.py:116(<listcomp>)
    21/12    0.000    0.000    0.004    0.000 layer.py:359(parse)
        5    0.000    0.000    0.004    0.001 clock.py:167(call_scheduled_functions)
       11    0.000    0.000    0.004    0.000 program.py:68(__init__)
       18    0.000    0.000    0.004    0.000 layer.py:262(_parse_tile_layer)
       10    0.000    0.000    0.004    0.000 __init__.py:1326(dispatch_event)
     2927    0.004    0.000    0.004    0.000 {method 'crop' of 'ImagingCore' objects}
        1    0.000    0.000    0.004    0.004 base.py:113(_redraw_windows)
       28    0.000    0.000    0.004    0.000 _make.py:1833(_make_repr)
        1    0.000    0.000    0.004    0.004 game.py:15(on_draw)
      283    0.001    0.000    0.003    0.000 typing.py:1330(__init__)
        1    0.000    0.000    0.003    0.003 xinput.py:1(<module>)
    38545    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
       18    0.003    0.000    0.003    0.000 layer.py:95(_convert_raw_tile_layer_data)
     2650    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.003    0.003 scene.py:306(draw)
     1408    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
20471/20466    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
       18    0.000    0.000    0.003    0.000 sprite_list.py:1123(draw)
        1    0.000    0.000    0.003    0.003 evdev.py:1(<module>)
